Date,Time,Group,Pixel,Area,Plant,Area per plant,No.,
2023/5/9,22:21:34,2-lower,98000,164.25,12,13.69,0,73
2023/5/9,22:21:51,2-mid,75449,124.88,9,13.88,1,74
2023/5/9,22:22:09,1-upper,55045,98.29,9,10.92,2,75
2023/5/9,22:22:23,2-upper,44551,79.56,9,8.84,3,76
2023/5/9,22:22:36,3-lower,102276,173.56,10,17.36,4,77
2023/5/9,22:22:50,3-mid,96557,161.81,12,13.48,5,78
2023/5/9,22:23:05,3-upper,55447,107.15,9,11.91,7,79
2023/5/9,22:23:18,1-mid,54154,96.74,9,10.75,8,80
2023/5/9,22:23:32,1-lower,108809,184.71,11,16.79,9,81
2023/5/10,22:25:02,2-lower,142488,238.82,12,19.9,0,318
2023/5/10,22:25:19,2-mid,106352,176.02,9,19.56,1,319
2023/5/10,22:25:38,1-upper,81425,145.4,9,16.16,2,320
2023/5/10,22:25:56,2-upper,61352,109.56,9,12.17,3,321
2023/5/10,22:26:14,3-lower,144643,245.46,10,24.55,4,322
2023/5/10,22:26:32,3-mid,143547,240.55,12,20.05,5,323
2023/5/10,22:26:50,3-upper,80638,155.83,9,17.31,7,324
2023/5/10,22:27:09,1-mid,77226,137.95,9,15.33,8,325
2023/5/10,22:27:26,1-lower,152462,258.81,11,23.53,9,326
2023/5/11,22:18:50,2-lower,205038,343.65,12,28.64,0,570
2023/5/11,22:19:02,2-mid,151544,250.82,9,27.87,1,571
2023/5/11,22:19:15,1-upper,122844,219.36,9,24.37,2,572
2023/5/11,22:19:28,2-upper,87760,156.71,9,17.41,3,573
2023/5/11,22:19:41,3-lower,198459,336.78,10,33.68,4,574
2023/5/11,22:19:53,3-mid,200944,336.74,12,28.06,5,575
2023/5/11,22:20:06,3-upper,107574,207.88,9,23.1,7,576
2023/5/11,22:20:18,1-mid,114884,205.22,9,22.8,8,577
2023/5/11,22:20:31,1-lower,207576,352.37,11,32.03,9,578
2023/5/12,22:18:58,2-lower,279939,469.19,12,39.1,0,820
2023/5/12,22:19:11,2-mid,199981,330.99,9,36.78,1,821
2023/5/12,22:19:25,1-upper,167084,298.36,9,33.15,2,822
2023/5/12,22:19:39,2-upper,110718,197.71,9,21.97,3,823
2023/5/12,22:19:52,3-lower,257623,437.18,10,43.72,4,824
2023/5/12,22:20:06,3-mid,256875,430.47,12,35.87,5,825
2023/5/12,22:20:20,3-upper,139326,269.24,9,29.92,7,826
2023/5/12,22:20:33,1-mid,156512,279.58,9,31.06,8,827
2023/5/12,22:20:47,1-lower,257401,436.95,11,39.72,9,828
2023/5/13,22:20:13,2-lower,363299,608.9,12,50.74,0,1053
2023/5/13,22:20:29,2-mid,260988,431.96,9,48,1,1054
2023/5/13,22:20:45,1-upper,213548,381.34,9,42.37,2,1055
2023/5/13,22:21:00,2-upper,140568,251.01,9,27.89,3,1056
2023/5/13,22:21:14,3-lower,335158,568.76,10,56.88,4,1057
2023/5/13,22:21:28,3-mid,323570,542.23,12,45.19,5,1058
2023/5/13,22:21:43,3-upper,177531,343.07,9,38.12,7,1059
2023/5/13,22:21:57,1-mid,201595,360.11,9,40.01,8,1060
2023/5/13,22:22:12,1-lower,316538,537.33,11,48.85,9,1061
2023/5/14,22:21:09,2-lower,441527,740.02,12,61.67,0,1305
2023/5/14,22:21:25,2-mid,331733,549.05,9,61.01,1,1306
2023/5/14,22:21:40,1-upper,266105,475.19,9,52.8,2,1307
2023/5/14,22:21:54,2-upper,180226,321.83,9,35.76,3,1308
2023/5/14,22:22:09,3-lower,427959,726.24,10,72.62,4,1309
2023/5/14,22:22:23,3-mid,400313,670.84,12,55.9,5,1310
2023/5/14,22:22:38,3-upper,229923,444.31,9,49.37,7,1311
2023/5/14,22:22:53,1-mid,254381,454.4,9,50.49,8,1312
2023/5/14,22:23:07,1-lower,395634,671.6,11,61.05,9,1313
2023/5/15,22:18:25,2-lower,545090,913.59,12,76.13,0,1557
2023/5/15,22:18:37,2-mid,433572,717.6,9,79.73,1,1558
2023/5/15,22:18:51,1-upper,332375,593.53,9,65.95,2,1559
2023/5/15,22:19:04,2-upper,239756,428.14,9,47.57,3,1560
2023/5/15,22:19:17,3-lower,543502,922.32,10,92.23,4,1561
2023/5/15,22:19:31,3-mid,504378,845.23,12,70.44,5,1562
2023/5/15,22:19:45,3-upper,297241,574.4,9,63.82,7,1563
2023/5/15,22:19:58,1-mid,334577,597.66,9,66.41,8,1564
2023/5/15,22:20:12,1-lower,499374,847.7,11,77.06,9,1565
2023/5/16,22:17:05,2-lower,636457,1066.73,12,88.89,0,1799
2023/5/16,22:17:19,2-mid,534659,884.91,9,98.32,1,1800
2023/5/16,22:17:35,1-upper,430118,768.07,9,85.34,2,1801
2023/5/16,22:17:47,2-upper,331729,592.37,9,65.82,3,1802
2023/5/16,22:18:01,3-lower,626868,1063.79,10,106.38,4,1803
2023/5/16,22:18:13,3-mid,611735,1025.13,12,85.43,5,1804
2023/5/16,22:18:26,3-upper,372175,719.2,9,79.91,7,1805
2023/5/16,22:18:38,1-mid,423451,756.41,9,84.05,8,1806
2023/5/16,22:18:51,1-lower,579623,983.93,11,89.45,9,1807
2023/5/17,22:20:10,2-lower,732412,1227.55,12,102.3,0,2034
2023/5/17,22:20:25,2-mid,634144,1049.57,9,116.62,1,2035
2023/5/17,22:20:40,1-upper,513112,916.27,9,101.81,2,2036
2023/5/17,22:20:54,2-upper,403546,720.62,9,80.07,3,2037
2023/5/17,22:21:07,3-lower,722079,1225.36,10,122.54,4,2038
2023/5/17,22:21:27,3-mid,721367,1208.85,12,100.74,5,2039
2023/5/17,22:21:47,3-upper,443551,857.13,9,95.24,7,2040
2023/5/17,22:22:01,1-mid,504134,900.54,9,100.06,8,2041
2023/5/17,22:22:16,1-lower,686502,1165.36,11,105.94,9,2042
2023/5/18,22:17:25,2-lower,791236,1326.15,12,110.51,0,2286
2023/5/18,22:17:38,2-mid,696313,1152.46,9,128.05,1,2287
2023/5/18,22:17:52,1-upper,598823,1069.33,9,118.81,2,2288
2023/5/18,22:18:06,2-upper,462097,825.17,9,91.69,3,2289
2023/5/18,22:18:19,3-lower,775421,1315.88,10,131.59,4,2290
2023/5/18,22:18:33,3-mid,788850,1321.94,12,110.16,5,2291
2023/5/18,22:18:46,3-upper,525225,1014.96,9,112.77,7,2292
2023/5/18,22:18:59,1-mid,592696,1058.74,9,117.64,8,2293
2023/5/18,22:19:13,1-lower,735899,1249.21,11,113.56,9,2294
2023/5/19,22:18:33,2-lower,829692,1390.6,12,115.88,0,2540
2023/5/20,22:15:40,2-lower,787865,1320.5,12,110.04,0,2764
2023/5/20,22:15:51,2-mid,690106,1142.19,9,126.91,1,2765
2023/5/20,22:16:02,1-upper,710614,1268.95,9,140.99,2,2766
2023/5/20,22:16:14,2-upper,647641,1156.5,9,128.5,3,2767
2023/5/20,22:16:28,3-lower,762652,1294.22,10,129.42,4,2768
2023/5/20,22:16:41,3-mid,839661,1407.09,12,117.26,5,2769
2023/5/20,22:16:52,3-upper,692045,1337.33,9,148.59,7,2770
2023/5/20,22:17:03,1-mid,780657,1394.49,9,154.94,8,2771
